mirna,2c658173-1941-45fe-baf5-ab67dfbcdfff,9c6e6db1-4096-47e2-9b77-abd2b4c7d180,ed3fd3e3-1b78-4a4f-8419-f4111c8c5c73,70c76e2f-3ce4-4864-8935-eaa51605612a,c1c6a9a5-73f2-414a-896d-4d3e564f6e59,133ae78e-fd83-4a13-9de6-28dbbe8e37c7,1540ed84-19b0-49d5-a728-3b04a29abe8a,5f2f42c5-e9d1-4a47-86a7-fd19308eca52,f1394f51-c3ab-45e8-87a2-fe641f00518e,2bb3034f-d37a-4eb4-b633-a3952ab947dd,44326a5f-517c-4e99-a8ac-eea1bdf44eeb,8da07768-f3a7-4529-b042-bf2648999e91,09ace4e7-5c45-4492-b97c-46aa467820aa,a9b9b321-f00e-4cdc-8b8c-92a377f89572,fdca715e-de7b-45e6-8cd8-3069bfbff602,b5db0bf7-8c2d-41d8-814a-8eee45608c50,4d4bb419-1f68-4c6e-92dc-bcfc0cc7c8e8,28d07a0a-b5ea-4ec0-b831-e80e060ef49c,dbb0837c-5ba2-4b10-bb93-a832fa11f481,d91020aa-3661-4b53-bbe4-e9677678736b,22879c27-d2a7-43cb-bebf-4fb3379003d9,63970639-a366-42e8-aa18-d072a9fc1770,17b53839-6c06-48cd-8829-0dd7499eec4e,af417154-4a8e-4c16-b65d-3f912189daa3,6f440be3-01eb-41c7-a80e-1c25310d3664,d51d209c-1403-49e9-a9b7-3c36659b64a9,bcf59ef3-e66b-49b6-92a8-478097e710c2,94e3b26a-8ffe-4ad7-b432-d7c7be4b5028,2db0a3fd-2399-4bfb-b676-2b19c197f391,309f6763-b665-495e-91b2-07007d5cdf04,0759b027-a95e-4679-9262-cd32edbc9490,d0766295-77cb-446a-9ebe-4820f57a8d36,0cd9169f-e533-4da9-8ed4-e56435fa4dc7,4054a92c-e4c6-4742-99fc-2e9bc0b99ed5,24a6594d-c21e-45e3-9863-f6b7e304f21c,50db711e-b2eb-4b33-ae9f-48ce6d860a48,a257fbd4-8d85-459a-984c-83040a164db6,19943aa8-5fe4-475c-8398-529ce6c0a3c3,7037419d-af1b-4420-a855-6af478e6e31a,33f500d7-0967-4bbf-9b40-d1d6ff8e3e3a,2d2554be-a947-4b7c-90b8-be1b4a0bd943,ea6594eb-a7a7-4aa9-a6b3-28a312c3adb4,e6d69ef2-2ae5-4a6c-b162-6eb465953c88,91cf017e-0026-4939-b9b0-151b13397092,21589a6c-f540-4927-ae32-cc626844aa9c,36091e7d-21aa-4471-bd96-8fd4d93c03ff,90879f6d-e07a-480d-ab46-5e654b2c8030,5608dff0-72ab-468c-b25f-d411ad581052,6d88ce71-ecd1-4edf-8935-ea9137ed1ef1,a416945e-cd2d-43f6-aeff-d35cb66684df,6f2d4c85-893f-40ed-8ec1-a03b53ec59c1,641c7068-0f33-42dd-a4fe-cafb541826ee,dc731794-8d31-4fb8-a4a5-c894e788fa0b,28a15efb-f538-41fd-9517-0fb86cae338b,79ab1074-d958-4de9-98a6-934277350b07,6fef6e45-aa6e-41e6-98b1-5dbb9a67b31f,f2c479c0-f730-4751-a83c-8be312ea9f04
hsa-mir-199a-2,11880,9760,17231,15855,7669,20690,9582,13843,10453,5134,10064,13184,5506,14571,6454,9081,10385,11369,5383,3735,10267,2884,4280,10281,10330,15373,4385,5145,4908,8350,18484,8241,14999,6003,4561,9244,6713,13765,6622,10096,5461,8329,4678,8424,13206,5412,7300,5371,6319,7489,13366,5395,11837,9665,7584,18488,9572
hsa-mir-199b,15982,12988,24169,20151,10172,29424,12249,18529,13456,6608,13559,18768,7846,18437,8484,12383,14140,14775,6972,5097,14265,3561,5657,14604,14155,22051,5660,7023,6230,11783,24987,10699,20312,7850,5865,12251,9491,18928,9358,13987,6424,11427,6784,10435,18275,7252,10014,6647,8572,9951,17486,6651,16608,12887,10467,24637,13018
hsa-mir-19a,27,17,32,31,19,41,20,18,38,21,24,37,20,59,18,44,33,32,32,11,38,4,45,55,68,89,10,20,58,24,67,22,68,26,10,40,29,34,65,40,19,41,34,11,68,19,9,31,21,19,22,32,77,41,50,72,42
hsa-mir-19b-1,124,72,125,219,134,170,280,78,151,84,150,237,65,289,115,89,158,99,118,78,139,42,98,234,423,329,71,79,134,118,382,203,245,61,105,206,59,270,165,212,84,133,135,98,257,159,86,93,70,105,143,73,267,221,139,527,89
hsa-mir-19b-2,118,62,115,193,152,143,269,74,132,75,132,188,51,248,103,104,154,109,92,88,142,47,85,221,404,300,81,52,104,119,391,171,222,63,87,193,55,298,143,180,62,111,125,124,222,167,67,82,73,93,136,75,206,228,111,538,94
hsa-mir-200a,1296,558,1067,23,272,1192,150,1067,563,375,1287,1068,1234,767,320,803,524,612,551,184,1444,211,7,1599,775,1479,318,311,72,1271,1430,317,391,395,332,561,508,840,16,8,287,1501,300,33,857,637,1880,2016,431,550,871,495,805,6,1107,1607,943
hsa-mir-200b,1224,344,762,14,264,930,175,685,624,394,1167,1067,980,901,359,773,437,546,581,187,1038,252,8,2106,1216,1701,370,409,72,1328,1585,378,438,377,545,716,507,1038,7,10,266,1417,373,31,792,587,874,1298,532,500,720,605,1130,6,936,1436,527
hsa-mir-200c,15360,6558,15722,190,4260,19523,2712,14556,10318,7264,19662,17674,14201,16171,6404,15151,7723,9745,10273,3452,16365,4595,54,27423,16623,24331,7001,7371,1800,24849,24232,8230,6182,10337,15527,13575,7284,15088,112,139,5781,19692,6183,662,17835,10852,20734,15469,6549,13203,15811,16589,12494,69,13735,24172,9542
hsa-mir-202,4,0,3,2,12,6,5,5,2,1,14,10,6,5,3,10,6,10,6,2,5,2,1,11,19,5,9,0,3,4,13,9,4,1,1,3,0,10,1,4,0,2,14,0,13,3,5,0,3,11,11,2,2,5,2,23,4
hsa-mir-203a,6550,3631,6939,226,1750,7267,1237,9639,3974,3972,7307,7695,7852,7658,2503,6825,3355,5647,4580,1264,8947,1575,124,8899,11149,7312,2593,2959,1113,11825,7036,1252,3526,3989,4073,4799,4577,7470,169,328,2785,11084,2312,81,6745,4210,9059,380,4426,5899,5662,6518,8483,213,6563,7943,3454
hsa-mir-203b,55,5,29,4,14,55,5,67,26,18,32,54,84,53,13,77,35,50,31,15,103,10,0,62,76,44,13,19,8,63,55,17,35,36,16,19,31,34,1,3,16,68,26,0,38,30,37,2,31,42,48,42,47,1,46,46,35
hsa-mir-204,22,82,69,49,68,141,36,53,49,20,113,45,18,130,19,32,156,74,60,44,28,15,8,110,121,53,94,25,68,74,107,65,48,54,116,98,14,103,10,13,36,9,7,24,69,54,62,2,29,75,75,61,60,31,48,399,29
hsa-mir-205,8641,6582,21319,101,11876,15981,10414,16384,22911,5689,30895,63921,3165,27804,21693,7985,20034,20319,14708,18846,9487,9957,13,52536,77124,14026,16176,4951,154,10229,81764,31043,19637,17454,39706,20607,4362,51265,41,247,10228,6946,5308,631,23114,20101,16956,2633,4658,13950,21778,12297,25428,197,8151,106768,8615
hsa-mir-2052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-206,6,5,2,32,8,2,0,0,1,0,0,0,4,5,6,6,3,2,0,0,8,1,11,2,4,6,0,2,7,2,5,0,8,1,3,4,0,0,0,335,0,5,1,0,2,1,0,0,1,0,1,1,1,63,8,3,0
hsa-mir-208a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-208b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
hsa-mir-20a,332,554,374,338,282,469,301,296,374,289,344,371,142,779,243,268,290,415,387,129,305,168,319,445,495,552,164,169,751,341,468,307,670,261,139,507,183,425,298,372,356,329,215,180,563,249,203,215,187,342,432,341,451,302,273,716,342
hsa-mir-20b,12,23,21,79,70,18,78,17,26,7,8,7,19,19,80,19,42,22,18,18,5,4,205,10,40,23,5,13,178,8,34,59,134,13,3,14,15,20,107,92,23,8,15,98,21,12,4,160,20,24,15,10,19,139,8,14,27
hsa-mir-21,219595,73160,133522,255044,132577,213607,28445,223035,149535,72021,259732,220686,210607,131081,100856,656519,215047,248808,183756,82688,317781,52882,44657,184414,170933,175316,67519,96574,50077,170770,186402,70274,240743,50529,33316,113559,188997,94359,97546,54017,55142,152183,146214,33596,232153,91298,160222,289434,146955,290156,496523,131844,242016,31210,261757,100921,347637
hsa-mir-210,372,260,257,167,201,290,260,78,200,29,84,138,390,195,137,96,117,153,192,48,295,48,468,415,133,335,32,106,231,558,366,146,259,174,55,104,180,225,390,150,128,233,20,401,166,40,103,703,232,105,103,60,269,352,308,199,166
hsa-mir-211,0,0,0,2,3,1,5,0,2,1,0,0,3,1,1,0,3,2,2,1,0,0,2,0,2,0,1,0,0,1,4,0,3,1,1,0,0,0,0,4,1,0,0,4,0,0,0,0,0,0,3,0,0,5,0,0,7
hsa-mir-2110,15,4,2,10,13,7,9,11,5,2,2,6,15,7,7,22,4,2,3,1,16,1,38,27,3,26,11,28,1,19,7,4,3,2,5,5,20,7,32,7,2,24,17,11,4,3,9,2,14,2,4,2,14,12,13,2,3
hsa-mir-2113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2114,1,2,0,1,2,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,3,0,0,1,2,0,1,1,1,0,0,1,0,0,3,1,0,0,0,0,1,1,0,2,0
hsa-mir-2115,8,4,0,1,6,7,0,3,0,5,6,4,19,2,0,5,0,0,2,1,6,3,1,6,1,2,1,0,0,3,2,0,2,3,0,1,2,1,0,0,4,1,1,0,7,0,0,3,1,12,1,1,3,0,1,2,0
hsa-mir-2116,1,3,2,2,2,1,3,2,1,0,3,2,2,2,2,0,3,4,1,0,0,1,1,2,1,5,0,0,1,3,0,1,3,3,4,2,0,2,0,1,1,1,0,1,1,0,1,0,1,4,1,0,4,0,0,2,1
hsa-mir-2117,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-212,17,21,19,12,10,44,6,9,11,1,6,11,10,7,16,7,16,8,5,6,44,4,3,8,12,13,5,8,1,3,90,21,10,4,3,7,3,11,5,9,3,40,5,6,20,5,13,2,6,9,14,6,9,13,21,12,6
hsa-mir-214,78,31,92,262,72,116,95,90,101,35,79,122,27,147,87,58,91,89,43,70,62,24,36,81,119,91,58,38,48,84,154,113,126,31,50,73,20,116,71,154,41,46,25,107,126,36,55,47,35,40,128,52,112,91,46,181,59
hsa-mir-215,16,3,11,104,144,33,226,34,42,25,16,17,8,13,56,30,135,29,31,24,8,9,43,19,4,20,20,20,20,14,31,43,73,19,7,12,5,15,80,78,66,48,19,35,18,7,18,15,16,5,27,19,15,138,6,15,16
hsa-mir-216a,1,1,1,1,3,2,0,1,0,1,1,0,1,1,0,6,2,1,1,2,2,0,0,0,2,0,0,0,6,0,1,3,1,0,0,0,1,1,2,0,0,0,0,0,2,0,3,0,1,3,1,1,1,0,3,2,0
hsa-mir-216b,2,0,1,0,0,0,0,0,0,0,2,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,2,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,1,0
hsa-mir-217,35,35,23,62,86,80,36,60,48,51,81,81,24,59,64,128,89,114,45,24,46,12,4,32,35,30,46,37,619,48,68,27,364,57,17,38,29,32,25,39,40,28,14,14,65,16,38,19,41,81,107,78,40,16,52,54,97
hsa-mir-218-1,82,56,79,215,155,95,60,157,106,51,94,160,53,247,113,132,195,121,58,71,115,22,17,78,117,72,63,62,54,70,226,83,216,45,41,135,85,110,57,61,40,68,94,62,224,64,72,43,56,76,152,84,113,78,79,163,99
hsa-mir-218-2,97,62,77,207,150,117,65,159,122,64,99,150,38,207,127,108,220,119,61,70,110,15,22,78,111,79,57,64,68,69,211,91,212,45,45,110,83,97,48,71,32,58,86,58,200,56,74,38,35,88,151,83,102,92,77,174,91
hsa-mir-219a-1,6,1,7,2,3,6,3,8,6,1,6,6,7,10,1,2,2,6,5,2,9,1,1,13,3,7,2,5,8,6,12,5,9,3,4,3,5,4,0,5,5,8,6,4,3,2,12,4,4,0,6,7,10,2,5,13,8
hsa-mir-219a-2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-mir-219b,0,0,0,0,0,4,2,0,1,0,0,0,0,2,0,0,2,1,0,1,1,1,0,1,1,0,0,0,0,1,0,1,1,0,0,4,0,3,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0
hsa-mir-22,152192,133541,148366,418649,485500,269901,236323,293358,395043,136136,170659,238290,122974,184142,299068,261354,379198,306994,287586,143295,160473,97559,415964,103386,74897,111338,205876,193577,329627,147103,178821,212316,489653,122113,56207,115010,152622,112016,372917,196392,275518,176193,124897,396456,180569,78804,191929,106070,134350,179076,428179,280119,121595,433424,151997,88682,259011
hsa-mir-221,270,381,357,462,294,618,184,620,372,135,443,650,176,443,244,372,420,362,230,216,482,103,145,391,347,394,206,284,150,276,504,252,481,149,132,266,282,323,274,214,148,346,222,208,668,209,207,88,210,387,602,245,405,183,388,548,506
hsa-mir-222,137,165,188,192,140,240,168,167,143,45,166,218,59,183,94,123,157,115,115,78,176,53,74,135,134,254,91,91,52,143,347,146,177,84,93,78,109,200,126,108,64,150,74,123,228,113,126,38,80,124,192,88,161,105,163,258,154
hsa-mir-223,205,113,140,2284,1842,194,259,802,363,104,484,368,121,394,1238,645,634,1017,841,541,193,199,1814,195,234,357,447,233,515,217,492,348,1367,91,130,354,447,302,751,1080,154,164,337,555,620,310,356,147,207,337,1336,317,343,767,195,285,507
hsa-mir-224,18,74,33,400,639,123,769,182,388,104,30,149,50,203,343,32,293,165,267,102,33,74,379,45,28,49,164,141,253,46,120,339,299,144,61,66,33,175,446,259,391,77,24,1398,110,43,197,17,59,104,142,250,36,1127,31,55,76
hsa-mir-2276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
hsa-mir-2277,3,3,1,4,2,2,1,2,2,0,2,0,0,3,1,0,1,1,4,0,1,0,1,4,2,0,0,0,0,0,7,2,5,1,1,2,0,2,4,3,3,4,0,4,2,0,1,0,0,1,4,3,3,2,2,2,5
hsa-mir-2278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2355,121,51,76,307,211,117,113,132,167,73,123,326,62,121,132,105,187,155,87,112,110,46,97,173,64,81,170,165,119,147,86,76,195,40,46,118,115,87,130,144,54,80,309,94,201,59,130,38,72,126,177,96,123,105,129,125,105
hsa-mir-2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-23a,9246,6472,8415,12495,10808,11231,11999,12555,8340,3736,10962,16466,7712,10527,8217,7834,11394,8335,6486,4696,8422,2794,11087,19081,8161,13591,5923,8532,7971,9686,11256,9761,12428,5259,5372,5384,10672,12438,14021,7740,5344,9078,5192,14385,8729,4790,8603,3719,7326,5333,12629,5409,10278,10235,9940,11247,7608
hsa-mir-23b,3495,1261,3506,2602,3541,3342,3095,3074,1624,832,2629,4122,2163,2505,2231,2586,2923,2227,1426,1138,2086,674,1965,8661,2484,4206,1695,2386,4299,2877,3592,2023,3602,1260,1588,1047,2730,3369,2821,1685,1449,2814,1301,2214,1656,1378,2234,735,2513,1242,3298,1522,3084,2631,2511,4330,1767
hsa-mir-23c,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,3,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
hsa-mir-24-1,1372,574,854,5147,3928,1410,2211,2029,1796,581,1822,3999,732,1802,2691,1462,4083,1630,1377,2098,1272,455,1526,1494,1935,1712,2113,1250,1859,1445,2877,2667,2864,618,1062,1031,972,1660,2545,2619,708,1151,2370,2638,1890,1270,1846,782,900,1019,2374,1128,1616,3338,1010,2468,1072
hsa-mir-24-2,1363,635,898,5233,3977,1464,2357,2147,1797,568,1932,3967,700,1825,2699,1501,4031,1572,1415,2200,1350,483,1599,1504,1896,1800,2272,1245,1790,1598,2937,2793,2953,601,983,1033,912,1669,2583,2723,766,1165,2318,2918,1901,1336,1963,737,902,1081,2330,1092,1757,3479,990,2437,1050
hsa-mir-2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-25,21616,6384,14929,28253,29949,25484,15080,36771,21121,18257,32092,25513,16640,31755,21276,30328,27185,26944,18763,15317,24372,7591,41162,36842,18966,27286,15416,22493,33190,28897,20073,21845,45338,10697,15072,18925,16295,19500,28194,17510,12807,20420,13075,16642,28461,16689,28097,17887,16228,21958,30109,30240,20055,25809,22741,30169,21086
hsa-mir-2681,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
hsa-mir-2682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-26a-1,2947,1825,3058,4383,3516,3870,4048,4767,3093,1928,4953,6912,1351,5991,3162,3275,7050,2938,2071,2133,2582,938,1438,6800,6737,6696,3237,2183,1619,3616,5962,3843,4345,1420,2563,3446,1896,5711,3693,4997,1451,1688,3274,1927,4874,2729,4062,1139,2220,1748,3771,1792,5627,3763,1986,10511,2253
hsa-mir-26a-2,3048,1853,2999,4413,3560,3775,4146,4510,3196,1999,4871,6824,1349,6094,3224,3220,7034,2887,2060,1999,2583,971,1358,6598,6632,6455,3247,2217,1684,3419,5886,3933,4391,1460,2530,3502,1919,5524,3743,5021,1547,1681,3385,1782,4950,2712,4215,1192,2225,1662,3769,1732,5511,3853,2001,10629,2156
hsa-mir-26b,1647,291,1612,5930,4006,2667,4516,2445,2478,894,2830,3969,584,3845,2944,1330,6344,2000,1706,1815,1266,503,941,4778,5355,3288,2113,1174,1496,1579,6287,4150,3581,942,1551,2195,765,3753,2883,6077,1096,963,1020,1724,3367,2069,2421,1838,1023,1082,2056,1128,3127,5809,1000,7347,1237
hsa-mir-27a,1686,819,1435,5912,2746,2139,2320,2988,2475,897,3245,4420,1441,2862,2142,1969,5372,2141,1803,1636,1650,621,1003,3665,2984,2052,2223,1433,1367,1733,4024,3102,3524,649,755,1605,1693,1941,2266,2955,826,1487,1687,2094,2736,1473,2727,1510,964,1315,3242,1200,2609,2833,2351,3540,1604
hsa-mir-27b,1506,502,1303,3430,2526,1687,1750,1876,1405,660,1990,3076,783,2260,1667,1924,3571,1869,1275,1158,1256,416,554,3382,2145,1675,1481,1054,2446,1380,2620,1724,2760,586,722,1003,1072,1571,1387,2079,760,1072,1330,801,1822,1168,1470,956,1056,1032,2327,1089,2182,2259,1146,3607,922
hsa-mir-28,20306,12278,18043,13867,19585,25979,15371,27216,20363,13931,25231,24063,14246,29370,14537,24273,22567,22650,14539,7781,18523,8617,9539,22911,14617,21475,16725,16592,18571,19518,19788,12908,27551,13426,14348,15631,15634,19200,10465,12432,14870,14742,7644,9846,27462,7392,20607,6394,12862,17002,24075,25340,17107,11432,14115,25986,16672
hsa-mir-2861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-2909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-296,14,10,26,31,37,36,29,24,19,8,31,34,3,39,40,6,60,15,8,18,20,8,17,20,24,50,37,14,5,17,70,37,10,15,35,31,5,55,21,18,9,16,7,39,35,34,24,2,10,12,36,9,29,20,20,75,14
hsa-mir-297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-299,32,5,30,50,18,63,25,34,15,3,20,20,13,18,10,25,18,37,6,8,42,9,1,22,28,37,16,17,4,18,95,8,22,14,22,9,9,28,26,23,7,41,10,18,46,5,20,1,9,16,45,4,20,9,45,49,13
hsa-mir-29a,12272,6071,12393,20692,18742,20026,14774,28939,21781,10636,34022,55739,7729,43632,17766,30741,59280,19919,18169,19627,14907,7533,4146,28131,45128,20183,26870,16380,7476,25565,28280,22722,23625,7999,10155,25710,11377,25740,11053,32455,7163,7013,23393,7664,50254,17894,19997,8066,9271,19889,31650,15830,32530,12190,12644,41653,15102
hsa-mir-29b-1,308,181,496,701,723,530,801,387,637,319,440,980,214,968,635,407,1192,438,552,287,271,147,275,719,1103,629,405,311,383,347,809,731,697,285,169,626,260,808,556,926,319,214,291,639,774,274,428,528,239,308,643,301,767,952,276,984,530
hsa-mir-29b-2,348,255,559,922,998,682,998,518,945,359,476,1083,246,1156,807,397,1388,586,682,361,344,220,410,827,1153,735,500,435,555,522,896,933,884,370,263,759,250,869,701,1112,518,248,353,941,890,348,596,549,280,314,760,406,816,1238,360,1088,619
hsa-mir-29c,3897,1802,3360,5513,4339,5183,3440,5569,5588,3657,6590,9490,2673,9606,3781,6824,16625,4198,4623,2830,3381,1504,1736,8349,10042,5654,4413,4175,2816,5577,5337,3749,6133,1924,1611,7671,3188,6660,3935,7579,2850,2078,4592,2462,10111,2926,5075,3397,2971,3099,7381,3062,9937,4372,3099,9961,4479
hsa-mir-300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-301a,9,7,19,33,16,21,17,6,18,6,6,10,11,11,10,12,12,12,10,9,8,4,19,9,11,12,6,1,21,4,38,13,13,2,5,11,6,15,27,22,6,10,0,19,9,6,4,16,6,5,12,1,17,26,10,13,22
hsa-mir-301b,1,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,3,0,0,0,0,1,1,0,0,2
hsa-mir-302a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-302b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-302c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-302d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-302e,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-302f,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-3064,2,0,0,1,4,0,2,0,2,0,1,1,0,0,3,0,2,0,4,1,0,0,0,0,0,3,0,0,0,0,0,2,6,0,1,0,0,0,2,0,1,0,0,1,1,1,0,0,0,2,1,0,0,1,0,1,0
hsa-mir-3065,88,58,40,10,16,47,27,49,35,31,111,38,83,37,25,55,25,39,24,6,62,6,10,97,22,39,30,15,15,54,125,13,56,42,32,20,48,38,17,18,36,70,18,5,62,16,191,122,11,22,35,14,68,11,20,115,37
hsa-mir-3074,14,13,12,22,26,40,46,35,37,12,17,28,17,15,12,14,26,38,27,8,15,11,33,20,6,21,15,9,24,21,35,25,40,12,17,19,8,19,28,31,26,12,3,22,28,14,28,34,6,18,29,16,14,38,22,32,33
hsa-mir-30a,327115,93315,212436,103365,150145,270233,129372,253177,196001,143407,317981,358843,221464,254523,116359,329553,248920,252245,134662,74503,272195,60899,73557,408272,243415,388334,160437,165713,119022,275123,270935,129287,192091,108838,115630,175252,183240,187184,74615,108549,164632,206156,198091,54347,234616,173548,343184,48776,181878,161620,244173,250071,278473,158401,222748,354560,113335
hsa-mir-30b,1253,216,1277,1521,1687,1841,1532,1150,1882,630,2974,3448,599,2998,1373,1256,3047,1656,1182,1693,1183,487,519,3742,3559,1838,1423,825,595,2688,3445,2143,1530,629,1571,1390,782,2845,1125,2819,647,769,1254,1091,3150,956,1334,588,945,1111,1620,1260,3163,1743,841,4998,741
