mirna,71f38728-5265-4317-a9da-95129726fe2b,74c57e6a-badb-4c90-817f-f265e9f0eae7,cba39ceb-4b7e-49cb-8b01-c44b7e70ad25,0b85120a-29ec-4948-9eb3-dbea5709cb31,2bff15a5-c2ca-4529-ba3a-3042c0de59f3,b789f2c1-a793-41c3-80b1-781e3fe6dbca,b2c1efd2-e611-4dc8-bde7-cb6c2286fdaf,e48a4127-695e-47d7-8949-db5e12abe3ff,b46f17b8-62c8-4882-9978-d9c4d1b02d3a,a1ed6dca-3f6a-4824-887b-70cadb2f720c,bc30ca6a-982b-4ba1-85a2-2e4adeba535a,eb05707c-be5a-4faf-ac42-7e5ca6af53e2,65126cbb-60a9-41d4-9fa5-6acd91bf53e1,c329df5e-f892-4e34-a575-947b80e0f6fa,ef99ae23-c33f-49f4-9757-7bb6d944b622,054d6883-9f0f-451e-a26d-cf0ff741afa4,4821e883-36ff-4203-ab40-e1343b3c7017,5a60bc87-bd7f-4e42-bdd5-cdb6af087758,1af6794a-2d3e-4a93-81e5-accc366c6922,191540a1-8853-4b2f-b7ff-2848bbee4c2b,5a41d026-6876-4db0-b8bf-a15fc771d1be,5c50f5de-8495-43d9-a6af-1a0cdec79f9e,99359a4e-5bd3-4a80-99a4-f00be159e0ea,1022aa8a-ff64-4756-b20f-43a12a53efc1,af68c263-395e-49d7-9595-024857785b06,e3476c1f-d114-40df-8968-a8f51a0b6484,ee84d78c-72dd-4b1d-ac4b-402c9b19d3c2,966f9637-a03c-41a8-9958-ea22ca86fed8,9e44b206-f1ff-4285-9dea-c848c7f47e9c,92c40bfa-1683-461e-bac4-6f573534d2e6,f16f009f-c863-43a8-94bf-f24ed4fde296,4328f48c-5c7d-4ec4-98fc-f4a28674c49f,d6c77415-a3c1-4627-a0ab-dacdac3db507,fa288f78-75ff-4f7a-aa86-3e99857e47e8,c5415243-f09a-4d9e-80d6-c1df7e6c9e3d,a5400877-bf80-4332-a111-8ef646135782,cd925bc2-7870-4fbd-829e-8797bd839539,98c6443e-64f7-438c-bbe1-bea65458e98b,31894502-e558-4758-9bf6-1181ccb38412,8b2999ed-78b2-4ced-adf4-b7ffbfee4b7f,41dbd6ab-871d-4ee4-be13-392b4995f6ce,937c07c2-b2a5-4b3f-a5e1-09edc7fa9bf5,2a3fd28d-255b-4079-8348-029bd0755803,3e0ad2f4-16c0-4c3f-a5c5-414e4f495b48,b7b6e492-59b0-45f5-aaff-051c2cab5ee8,3c41e7b2-52f5-4f92-9ab9-b92846e972ba,2e354ad2-e897-44e9-8c6f-341fc5d878ec,db7aa78b-4bb9-4d89-9219-bc93eaa277a2,3ef75f19-8b1a-4d77-a84a-f89e9869c0bb,94daa651-5d59-4a69-bfd0-b95e146cee04,2e1de344-442c-4c2b-929a-74021d92c95b,7e4b904e-cacd-4c36-a5ad-0923bec03578,428c71b7-7fa6-4b34-b85c-bc67329db834,7843d077-04e2-41d2-bd64-73edd83e9c1f,6f335026-6df0-43f8-8076-fb6534e4420f,fb898446-9ba2-47d5-b86f-41a424c6fc38,f9b88865-6e80-46ed-98aa-6d81ba5d4a02
hsa-mir-4465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4466,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
hsa-mir-4467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4469,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
hsa-mir-4470,1,0,1,0,2,2,4,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,2,1,1,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0
hsa-mir-4471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4472-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4472-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4473,2,2,0,0,1,0,2,0,1,1,2,0,6,2,1,0,3,1,1,0,3,0,1,9,0,0,4,1,1,1,1,0,0,2,0,0,4,0,1,4,0,0,0,0,4,2,1,1,3,0,0,1,1,2,1,4,1
hsa-mir-4474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4477a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4477b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4478,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4479,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-mir-448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
hsa-mir-4483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4484,1,0,1,0,1,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,3,0,0,0,0,1,0,3,3,2,2,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,1
hsa-mir-4485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4487,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0
hsa-mir-4488,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-mir-4490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4491,0,2,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,7,0,0,0,2,0,1,1,0,2,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,1,2,0
hsa-mir-4492,0,1,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-mir-4493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4494,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
hsa-mir-4495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4496,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-mir-4499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-449a,1,2474,6,4,0,0,15,600,81,0,0,0,19,0,0,24,0,0,9,2,0,39,19,1,0,0,0,0,1,2,1,0,0,69,155,1,111,0,1,1,1,1,7,0,0,0,1,2,91,0,0,193,0,18,29,9,9
hsa-mir-449b,0,204,3,2,0,0,0,91,17,0,0,0,4,0,0,5,0,0,1,0,0,13,7,0,0,0,0,0,0,1,0,0,0,9,24,1,28,1,0,0,0,0,0,0,1,0,3,1,23,0,0,46,0,5,5,0,1
hsa-mir-449c,0,128,0,0,0,0,1,68,9,0,0,0,0,0,0,2,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,9,2,0,3,0,0,0,0,0,0,0,0,0,0,0,9,0,0,21,0,0,0,0,1
hsa-mir-4500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4501,1,19,5,3,1,5,34,4,2,7,1,29,1,0,0,1,16,0,2,0,26,16,7,11,2,0,1,0,11,6,3,0,2,6,4,18,2,3,1,9,1,0,3,14,6,0,3,0,2,6,3,1,4,1,1,1,0
hsa-mir-4502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
hsa-mir-4506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4509-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4509-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4509-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-450a-1,27,19,2,3,6,18,24,5,1,15,19,19,6,3,1,1,15,12,37,6,2,27,6,46,16,1,36,11,6,32,0,11,4,24,11,8,47,8,15,20,3,6,28,11,4,4,6,15,16,3,8,31,3,6,35,13,13
hsa-mir-450a-2,31,22,0,0,12,24,19,2,1,11,16,18,11,1,2,1,17,13,34,8,1,37,6,49,17,2,33,31,12,47,2,8,2,14,15,8,47,9,12,22,1,2,29,12,1,2,7,17,17,4,6,30,5,5,35,16,20
hsa-mir-450b,137,43,9,8,29,70,164,13,10,59,38,58,70,13,16,2,31,18,90,25,11,122,10,68,150,11,131,94,40,142,6,21,9,85,87,29,140,22,31,46,4,7,61,56,25,18,36,56,62,13,31,107,12,25,56,62,64
hsa-mir-4510,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4511,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4512,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-mir-4514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4515,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,0,0,0,0
hsa-mir-4516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4517,0,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
hsa-mir-4518,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-mir-4519,0,0,0,0,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,0
hsa-mir-451a,136,343,105,76,488,118,178,237,90,93,153,75,53,34,46,96,197,102,147,216,185,369,48,255,188,105,52,118,181,249,52,33,52,578,106,85,514,137,64,169,13,26,405,390,135,190,391,92,78,126,148,199,28,58,98,1064,1455
hsa-mir-451b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-452,56,36,20,17,415,358,73,19,8,22,486,21,29,11,29,19,28,90,114,5,64,1849,11,311,398,44,14,287,940,106,11,92,62,59,17,99,114,40,29,414,4,207,78,197,27,875,185,85,107,22,13,763,9,8,12,51,86
hsa-mir-4520-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4520-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4521,1,2,2,1,1,2,2,0,0,3,2,1,0,3,0,0,6,0,0,0,0,2,0,3,7,1,1,0,2,0,0,1,0,2,0,4,0,3,0,0,1,0,4,0,0,1,1,2,5,0,0,1,1,0,0,0,0
hsa-mir-4522,0,0,0,2,1,3,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4,1,1,4,1,0,0,0,0,0,2,1,1,1,4,0,1,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
hsa-mir-4523,0,0,0,0,1,1,5,0,0,0,0,2,0,0,0,0,0,0,0,1,0,7,4,1,0,0,0,1,4,4,0,1,1,0,0,0,0,0,0,1,0,0,0,1,6,0,0,0,0,0,0,3,0,0,8,2,0
hsa-mir-4524a,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
hsa-mir-4524b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4525,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,3,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
hsa-mir-4526,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,1,0,0
hsa-mir-4527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4529,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
hsa-mir-4530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4533,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4536-1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
hsa-mir-4536-2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,0,0,0,0,4,0,0,1,0,1
hsa-mir-4537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-454,34,27,9,10,29,48,15,5,28,27,56,33,17,14,21,31,29,44,12,35,62,312,10,72,30,18,24,41,16,16,8,7,11,20,55,17,22,37,48,35,5,32,9,16,32,22,32,51,16,12,193,29,11,10,31,62,15
hsa-mir-4540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-455,492,401,494,126,577,364,1374,473,139,742,324,169,701,381,173,286,285,399,34,82,220,211,246,950,634,318,98,770,606,511,99,355,227,345,288,495,565,813,354,484,128,136,304,376,786,116,275,656,195,376,100,824,93,376,325,849,178
hsa-mir-4632,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
hsa-mir-4633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-mir-4634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-mir-4636,5,0,0,0,0,7,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,1,1,0,1,0,0,0,2,0,0,0,0,2,3,1,6,1,0,0,0,0,1,0,3,1,1,0,0,4,0,0,0,1,1,0,0
