accession_id,is_expressed,6dc4e6bf-a8f6-4280-af19-5ed501969f01,86e3408b-76a3-4834-b85e-4d2a07677304,a44df6fa-36a7-4500-90fd-d62baf48ef52,3abbb570-87ad-44c5-b66d-141f63b0ca8b,a4fc56a4-2493-451a-9b30-5aa38258bcce,be8e6554-07ae-4ec2-8be0-8598556467c9,d68e848a-5464-4471-88bd-3faf7e088d91,f3a7612e-35c3-43be-8f96-795874f8225c,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,0f40e7fd-789f-49f7-a797-76bbe3c84f47,e83d4619-5e2b-4da7-8c05-93611ea76c85,f424bcaa-7212-4abc-8110-cff56b85c85a,86b5eaae-717c-4806-be60-7ffcab935908,265fa10b-9393-4c95-99a0-df47069deaac,ff79f645-81f1-4a3b-ae72-adc169f30143,ed76d786-d744-4067-b288-5fe2dc06a310,52fed7ff-b663-4fc1-a294-57776659175a,8f6d8863-21b1-4469-b233-21bb7c9b954c,41cd380c-ab97-451e-80b7-3d9653a1e909,e351b00e-5462-4be5-a57c-162a9b7b996e,ddde9a13-c70c-464c-8066-65a88ab92dc7,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,8ecef704-ed0f-4700-a34e-46a174033332,02fc7dd7-7e17-4930-8424-52173c33b29b,e896f815-d8df-42cc-bdf6-04deb50f6c1a,37fb952c-2a89-4903-98b9-6f6d36743218,85236a1e-2adb-459b-b868-b9486d9a285e,557f6cb1-95e3-4c8c-b253-538a415b0d07,d0982681-8799-412d-a868-81078e4a6560,0f7a5400-3b1d-42d3-b47a-2979084bf616,7e975ee3-173d-4315-aacf-c201122d9868,81ec1c9c-36c0-48e8-929a-8273d1d3febe,eaf6af76-2b28-4128-9371-a3d928d72370,8334ded1-3815-4766-8861-6fa8313fab6b,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,aef6b437-1da5-4f69-970b-977cdc9cd5c5,3be37b85-90eb-4f47-909a-8be730172d92,0895e2a3-5571-4ee2-b715-a424d0c9fec4,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,f4987886-cc3e-4423-84ae-84911abcd473,d7438c8a-6e39-4139-92e7-2aa05bae5d40,91b36078-362b-4909-ac90-1b2d1ea4a545,415d3af2-fc41-43d5-b185-6a09946b9e84,a00a04b4-8de5-4f18-9dc2-531e21aa5167,dc300e50-f729-4d0e-8a33-606e95d91c95,585f73db-7dc1-49d8-a601-f8d33b318a95,646eb67c-2e86-4f89-867f-78c31eff5fe0,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aafbf8fb-290d-408e-b104-241b7d492895,3d4b6861-2763-451d-ae0a-6a5adfc591ec,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,a576843f-a9f7-47cf-a52f-7f01066fa160,54fb48bb-ab47-4870-beb0-5713d15d8b58,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f
MIMAT0003266,1,25,32,9,37,6,12,9,3,1,60,6,26,16,24,5,11,24,26,6,18,3,23,3,6,21,4,15,45,50,9,13,17,11,12,15,28,6,22,289,32,7,11,3,29,10,2,31,24,3,10,50,157,37,195,60,17
MIMAT0003268,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0003273,0,0,0,1,4,0,0,0,0,1,0,2,3,0,1,0,3,1,2,1,4,1,0,2,0,4,1,0,2,0,0,2,1,0,0,2,0,3,8,2,0,3,0,0,0,0,0,0,0,1,3,0,2,2,3,0,0
MIMAT0003275,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,1,0,1,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0
MIMAT0003277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
MIMAT0003278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
MIMAT0003283,1,4,17,89,14,16,50,49,19,1,31,137,35,49,31,52,13,66,26,11,52,183,81,3,14,8,5,17,33,65,77,21,17,27,8,144,34,14,35,16,7,58,25,40,47,24,29,11,13,25,12,26,18,45,17,198,88
MIMAT0003284,1,4,8,9,6,6,15,13,4,6,10,6,2,11,25,6,1,3,8,0,33,17,6,6,5,18,4,3,8,6,9,7,0,8,8,5,18,7,5,12,15,6,6,3,3,3,11,4,4,16,9,5,5,18,27,11,4
MIMAT0003287,0,12,2,0,1,1,6,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,2,9,1,1,1,1,1,2,0,0,0,0,0,0,0,7,1,4,0,1,4,1,1,5,0,0,3,0,6,0,0,3,0,0,2
MIMAT0003291,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
MIMAT0003293,0,0,0,2,2,1,4,3,0,0,0,2,4,4,4,4,1,0,0,0,5,0,1,0,0,2,0,0,3,3,5,0,1,2,0,0,6,4,11,1,1,3,0,2,1,2,2,2,0,1,1,0,0,3,6,4,1
MIMAT0003294,1,0,15,20,45,34,15,8,5,2,8,6,7,7,16,9,16,5,1,8,22,9,12,30,2,18,7,6,19,15,9,13,12,3,9,2,14,10,20,17,3,9,2,7,10,10,22,23,4,4,3,3,1,21,14,10,12
MIMAT0003296,0,2,0,1,5,1,10,2,3,0,0,3,1,1,8,5,0,6,2,3,1,12,1,2,0,2,2,3,2,0,4,3,3,0,1,3,1,3,2,2,1,1,1,5,3,1,5,8,5,7,2,0,0,3,8,3,0
MIMAT0003297,0,2,1,5,4,0,6,2,0,0,0,5,0,0,5,2,0,0,0,1,0,1,0,2,1,0,1,0,0,1,9,1,2,0,0,0,9,1,1,0,0,2,0,0,0,2,0,0,3,1,0,1,0,0,8,2,1
MIMAT0003298,1,13,51,15,23,31,19,18,2,11,9,16,14,25,23,16,15,24,13,18,23,9,7,69,4,50,17,6,6,27,32,14,17,8,30,14,60,6,39,32,14,17,17,8,7,16,25,11,15,24,16,16,22,47,125,35,15
MIMAT0003301,1,0,11,119,87,10,118,13,8,0,9,26,11,37,115,9,83,16,7,12,265,30,25,6,3,57,49,3,6,35,75,22,19,8,7,6,13,18,62,59,4,20,7,8,3,2,10,12,6,11,3,16,43,103,11,68,31
MIMAT0003302,0,0,0,7,0,1,0,2,0,0,0,0,1,1,2,3,0,0,1,1,1,3,1,0,0,2,1,0,0,0,2,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,1,0,1,2,1,0,0,1,9,0,1
MIMAT0003306,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,0,0,0,2,0,2,0,0,0,1,0,0,2,1,2,0,0,0,2,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,0,7,3,6,3,2
MIMAT0003309,0,0,5,0,1,0,1,0,1,0,0,0,1,1,2,2,3,2,1,0,0,2,2,0,0,3,1,0,2,2,1,0,1,0,2,0,3,0,1,2,0,0,0,0,1,2,3,0,1,0,1,0,2,1,3,1,1
MIMAT0003311,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
MIMAT0003312,1,12,17,22,8,1,5,27,5,7,3,10,8,35,9,7,1,38,4,8,9,4,1,7,0,9,1,2,16,7,14,6,3,11,4,17,27,18,36,6,14,6,12,4,0,1,19,7,14,9,7,11,14,15,122,10,28
MIMAT0003313,0,0,1,0,0,1,0,2,0,0,4,1,0,1,0,2,0,2,1,0,1,1,2,0,0,1,1,0,1,0,0,1,0,0,0,1,2,0,1,1,0,0,0,0,1,1,0,1,1,2,0,0,0,7,5,0,0
MIMAT0003317,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003321,1,1,18,1,10,2,10,6,0,0,7,7,3,7,41,5,1,2,5,1,11,3,13,0,2,4,2,1,9,4,15,4,2,7,2,0,3,6,7,9,3,13,6,1,17,8,9,6,20,6,7,4,5,17,40,6,3
MIMAT0003322,1,14,146,54,52,31,89,21,9,13,53,42,144,53,59,53,61,91,28,10,191,58,260,40,114,28,26,42,96,101,131,92,35,19,8,39,52,15,80,167,24,85,31,29,42,10,89,34,45,48,24,39,44,211,211,530,78
MIMAT0003323,0,0,0,0,1,1,2,0,1,0,0,2,1,1,4,0,1,0,0,0,2,2,1,0,0,0,0,0,0,0,3,2,0,0,1,0,3,0,1,2,0,0,0,1,1,0,1,1,0,2,0,0,0,0,2,1,2
MIMAT0003325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003327,0,0,0,0,0,2,0,1,0,0,0,7,3,0,0,0,0,18,0,0,0,1,0,4,0,0,0,1,0,0,17,0,0,1,1,0,0,0,0,0,0,0,18,38,0,4,6,0,0,0,0,0,0,12,0,32,56
MIMAT0003328,1,5,24,50,34,24,9,11,13,14,40,14,127,15,44,14,17,40,29,19,95,102,14,5,4,67,88,8,44,40,21,5,25,3,54,152,49,21,14,21,28,14,30,2,5,3,88,15,27,13,15,19,15,154,54,9,44
MIMAT0003329,1,0,13,5,10,1,14,6,4,1,5,8,5,17,19,4,5,13,6,3,18,4,13,1,1,16,7,0,18,75,8,5,5,10,3,2,7,8,9,15,3,2,7,6,1,2,5,14,5,5,3,4,9,10,50,63,19
MIMAT0003330,0,1,1,3,1,6,1,2,0,2,1,1,2,4,3,2,8,4,6,0,3,0,5,2,5,13,1,1,7,42,2,0,6,5,1,0,2,2,1,4,1,1,1,5,0,2,0,3,1,2,1,1,1,1,10,7,0
MIMAT0003331,1,2,3,1,2,1,7,2,0,5,8,2,7,4,8,1,10,7,3,1,5,4,5,2,3,2,2,0,6,39,5,2,7,4,1,4,2,7,2,7,2,2,5,5,6,2,1,6,6,0,4,1,0,5,6,10,3
MIMAT0003332,0,1,1,2,1,0,0,0,0,0,2,2,4,0,2,0,1,1,3,0,2,0,3,0,1,0,1,0,5,4,1,0,0,0,1,1,2,2,3,1,0,1,1,4,2,1,0,3,0,1,0,0,1,2,5,1,2
MIMAT0003333,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIMAT0003336,0,0,3,1,1,1,1,2,1,0,0,1,1,2,0,2,0,0,1,1,2,1,1,0,1,2,0,0,0,1,3,3,0,0,0,0,3,0,2,0,0,0,0,0,0,1,1,0,1,0,1,0,3,0,4,0,0
MIMAT0003337,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MIMAT0003338,1,41,131,19,20,57,53,41,7,9,63,29,31,93,56,51,49,88,98,36,57,22,71,9,35,81,18,67,60,83,37,45,42,17,24,33,82,35,46,37,29,42,55,7,54,45,42,39,64,36,43,37,68,184,250,40,56
MIMAT0003339,1,2,10,6,4,4,5,3,3,1,1,7,4,7,7,10,6,6,6,0,9,4,9,2,2,3,9,4,15,3,13,7,5,0,4,7,12,2,2,5,0,7,3,1,25,10,6,4,17,4,2,2,6,19,11,10,4
MIMAT0003340,1,3,9,3,9,2,4,1,0,1,1,5,13,11,5,3,6,13,13,2,4,3,2,2,1,2,1,10,16,5,7,5,9,1,0,0,5,2,9,2,2,2,4,4,9,1,1,11,3,4,3,4,3,12,14,15,10
MIMAT0003385,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,1
MIMAT0003386,0,1,0,3,2,0,3,1,2,0,3,2,6,2,3,2,2,4,1,1,5,2,8,3,0,7,0,0,7,28,1,2,1,0,0,3,2,3,1,3,1,2,6,1,3,0,3,7,0,0,5,0,1,7,5,4,8
MIMAT0003389,1,384,1056,387,286,161,317,483,36,166,228,760,531,633,312,607,1091,1767,869,189,1285,488,768,141,186,530,215,610,1662,399,620,505,779,270,121,81,952,169,632,431,153,151,765,181,764,64,81,1242,236,159,325,399,247,1065,2440,1389,583
MIMAT0003393,1,622,898,2238,734,934,2024,213,739,124,1060,2168,2609,10769,2143,1119,6541,1918,501,456,1698,1385,1470,1287,149,426,241,1718,1413,962,1000,1446,1332,789,343,1338,790,1245,1359,514,331,1210,266,1817,2434,2630,807,1087,779,968,751,712,908,2670,1110,2542,3187
MIMAT0003879,1,2,31,7,5,6,11,23,3,13,11,14,17,22,15,10,23,34,26,3,34,8,25,14,17,45,8,3,55,294,0,6,14,21,4,6,16,15,13,27,10,4,30,13,4,7,3,28,8,4,16,14,7,35,131,78,28
MIMAT0003880,1,13,21,5,7,4,12,7,2,0,11,14,16,10,15,8,4,4,4,7,5,12,18,2,7,17,4,14,19,24,19,3,15,4,5,8,19,7,7,13,9,12,4,6,9,10,13,4,20,3,4,10,12,20,60,28,11
MIMAT0003881,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIMAT0003882,1,0,356,2,0,4,1,4,3,0,15,19,0,1,0,5,0,257,10,0,0,0,25,0,0,10,2,0,1,0,45,201,0,0,15,18,0,139,0,0,9,1,3,3,0,1,0,0,3,27,0,3,0,190,29,6,1
MIMAT0003883,0,0,14,1,0,0,0,1,5,0,0,1,0,1,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,2,0,7,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,9,0,0,0
MIMAT0003884,0,1,1,1,1,1,1,0,0,0,5,2,3,4,0,0,2,2,4,0,4,6,5,2,0,1,0,1,1,1,1,3,2,1,0,1,2,0,4,1,1,9,3,0,3,1,0,1,0,0,15,0,4,10,1,0,0
MIMAT0003885,1,33,32,22,26,6,43,17,4,8,38,16,28,55,29,13,23,18,35,14,34,41,28,8,10,14,17,10,32,34,15,22,10,9,10,31,26,16,52,15,6,53,51,5,21,29,27,4,12,18,172,6,23,288,13,21,24
MIMAT0003886,1,14,49,60,38,60,21,31,32,18,28,38,50,45,55,46,63,104,62,17,69,70,114,14,7,39,21,12,22,53,91,34,31,16,13,18,99,36,47,47,20,92,22,31,45,36,38,31,28,33,28,55,108,74,84,188,101
MIMAT0003887,1,2,1,5,0,11,1,1,2,1,4,2,9,11,4,8,7,19,12,0,9,5,11,3,1,4,3,0,6,8,15,0,2,0,1,5,8,4,6,5,0,11,0,1,5,2,6,2,2,3,1,12,17,9,8,25,3
MIMAT0003888,1,1,43,6,11,5,38,8,3,8,10,22,57,32,76,10,43,76,23,9,38,13,22,11,25,46,13,7,26,36,30,25,8,22,6,10,43,8,51,17,2,43,10,15,32,3,8,17,4,20,5,31,46,43,68,14,32
MIMAT0003945,0,0,1,3,0,2,0,0,1,0,0,2,0,2,0,1,3,1,0,0,0,0,0,1,2,2,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,4,0,0,0,0
MIMAT0003948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0004284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1
MIMAT0004481,1,35,76,65,49,51,235,88,158,30,222,125,64,114,81,79,42,95,67,34,75,146,81,23,20,79,43,99,64,76,157,165,62,40,18,188,95,71,226,85,39,99,52,34,274,24,18,91,34,43,19,40,103,100,168,197,97
MIMAT0004482,1,27,78,58,102,108,130,153,127,57,35,38,122,167,97,62,37,93,68,46,94,153,58,158,34,146,60,16,54,88,143,77,41,59,28,52,127,36,466,109,19,66,43,61,45,44,21,102,36,48,24,76,75,72,358,305,86
MIMAT0004484,1,232,605,390,591,1083,977,977,310,397,725,285,420,778,601,682,361,739,341,239,1327,731,689,1266,309,1248,830,746,629,1784,954,576,268,412,419,392,956,227,1001,1103,240,1154,315,355,986,827,117,305,564,560,435,760,1976,829,2240,2802,701
MIMAT0004485,1,4,27,45,18,17,20,20,30,14,16,38,58,40,42,20,20,65,25,5,41,29,40,47,1,37,14,7,33,23,17,34,21,26,9,19,19,13,50,67,15,39,16,23,6,10,2,10,11,6,28,10,5,28,49,52,45
MIMAT0004486,1,2,13,5,6,7,14,7,4,1,3,5,5,6,7,5,10,9,4,1,11,6,10,6,4,9,6,3,3,15,8,5,1,4,5,4,5,0,20,7,1,3,4,3,3,2,1,8,6,5,2,7,12,10,19,19,14
MIMAT0004487,0,2,3,0,2,1,6,2,1,0,2,0,1,2,1,0,6,5,0,0,0,0,0,2,0,3,2,0,6,2,0,5,0,0,2,0,2,0,2,0,0,0,2,0,2,3,0,3,0,3,1,0,4,4,6,3,1
MIMAT0004488,0,1,2,1,0,1,2,0,0,0,2,0,0,2,0,1,0,0,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,1,0,1,0,1,0,0,1,0
MIMAT0004489,1,7,24,2,8,5,17,17,1,7,16,9,5,25,6,5,3,7,4,2,10,3,12,4,3,16,11,4,5,12,18,7,7,11,1,3,19,7,14,17,7,10,10,0,4,4,10,8,6,3,5,8,8,16,32,35,13
MIMAT0004490,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
MIMAT0004491,1,5,13,2,13,11,12,7,0,1,16,10,6,25,7,17,6,15,19,5,10,0,21,2,1,21,3,9,5,17,29,3,8,7,6,29,12,3,18,12,5,17,8,2,8,8,1,13,9,16,5,3,20,26,97,17,13
MIMAT0004492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
MIMAT0004493,1,4,21,7,33,29,18,15,7,6,35,19,25,32,8,35,12,18,10,10,22,34,21,4,4,7,3,26,6,16,32,16,15,14,11,48,32,12,67,19,7,37,4,2,29,10,15,20,20,25,18,7,47,44,11,15,4
MIMAT0004494,1,2757,19350,18801,31232,23020,21925,2662,2838,2120,1803,3497,2299,8410,3567,7843,2664,5312,13168,16719,8811,16528,11728,2405,5043,14568,5494,1323,4079,9103,5834,6141,4285,4302,3706,3265,6214,5576,5513,8105,2094,2481,8862,702,1203,12924,3963,30862,2429,1526,21922,4107,22286,14706,13651,13212,5104
MIMAT0004495,1,22,84,82,91,137,164,42,14,48,72,86,100,81,126,82,71,134,91,45,90,73,100,26,44,66,47,26,148,92,95,64,106,19,74,56,206,79,107,46,36,34,50,72,53,92,48,147,55,31,12,52,69,110,125,298,94
MIMAT0004496,1,5,16,2,13,18,11,8,2,0,1,1,5,11,4,7,6,12,10,5,15,6,3,10,4,25,6,2,1,26,4,2,6,5,7,9,8,5,7,8,2,1,11,0,3,4,7,6,7,3,5,2,24,19,19,14,4
MIMAT0004497,1,28,86,41,46,116,86,36,43,14,28,60,168,147,79,76,27,162,180,19,63,61,122,24,26,65,43,42,182,85,67,74,90,25,35,130,92,73,91,37,27,46,68,58,43,52,36,78,74,31,26,64,240,148,102,123,92
MIMAT0004498,0,1,1,2,3,1,6,0,0,0,1,1,0,1,5,1,0,0,1,0,2,1,0,2,1,2,0,0,0,1,3,0,3,0,1,1,2,0,3,1,0,2,1,1,0,1,1,0,0,1,0,0,0,1,6,1,1
MIMAT0004499,1,0,14,22,25,11,17,4,18,3,2,8,16,22,14,11,16,24,1,5,24,19,10,6,1,45,5,0,4,16,22,11,8,12,5,3,30,5,10,18,2,1,0,4,1,11,8,24,5,5,8,11,22,4,3,29,23
MIMAT0004500,1,16,113,53,28,96,80,66,18,16,18,36,90,123,85,32,43,265,75,22,65,37,51,23,21,93,34,18,70,88,51,48,21,55,13,32,52,29,44,32,21,45,27,22,33,37,33,67,24,31,45,52,77,114,126,78,95
MIMAT0004501,1,4,209,12,58,31,129,14,5,4,18,24,5,16,18,83,3,92,43,4,33,15,40,24,13,39,14,11,10,26,22,13,27,17,10,38,11,11,17,24,8,4,4,3,2,6,10,63,39,7,28,7,65,52,68,29,19
MIMAT0004502,1,3985,13664,3099,7354,4928,9691,9551,2727,5527,3892,5174,6988,11702,10140,15346,6693,10501,7857,3561,10119,6114,15246,11202,4538,17580,5950,3482,12773,13700,8451,6412,8312,4603,2479,5698,21016,4353,8797,11169,2362,4114,5135,6605,5475,2632,2725,8806,4194,8012,2867,7470,8943,14002,19568,37457,6304
MIMAT0004503,1,7,36,11,10,9,12,12,6,2,18,7,15,54,11,14,10,24,14,2,10,12,15,0,14,27,12,8,15,21,32,9,16,12,4,20,9,8,5,11,12,7,13,3,3,5,7,8,10,5,8,17,16,27,37,32,11
MIMAT0004504,1,1,9,5,6,3,37,3,3,2,3,0,11,4,1,4,2,6,5,1,30,12,1,2,2,4,0,98,11,62,1,1,4,1,1,1,5,2,1,3,3,0,7,3,1,1,0,6,8,0,1,3,3,2,11,11,6
MIMAT0004505,0,0,2,1,2,1,11,3,0,1,7,1,0,0,5,4,5,2,2,0,3,1,3,0,0,0,0,3,2,3,3,1,0,0,2,4,0,2,4,6,1,3,1,2,1,3,2,6,1,3,1,3,2,7,5,9,7
MIMAT0004506,0,2,4,4,5,7,11,1,0,1,9,6,20,4,7,5,3,8,4,2,5,6,3,3,2,7,5,7,2,19,8,6,4,2,4,2,1,6,19,2,2,8,1,1,7,2,1,11,0,4,3,9,3,9,3,6,4
MIMAT0004507,1,2,25,0,18,8,26,5,2,2,13,5,1,23,6,7,8,8,3,0,7,4,4,10,1,7,0,9,1,8,4,1,2,1,2,17,1,3,7,1,6,15,2,2,7,3,7,9,9,4,5,1,0,19,11,23,7
MIMAT0004508,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
MIMAT0004509,1,5,24,21,22,20,21,42,11,10,35,16,34,58,44,20,13,51,39,16,51,8,30,19,21,36,8,27,30,59,35,24,11,18,15,33,37,9,80,36,10,64,15,23,78,20,17,19,27,31,25,29,43,85,57,50,27
MIMAT0004510,0,0,1,0,0,0,5,0,0,0,2,0,0,1,1,0,0,0,0,2,1,0,2,0,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,3,0,0,1,0,1,1,0,0,0
MIMAT0004511,1,2,1,5,4,3,5,3,0,0,8,1,8,11,8,7,2,23,5,3,8,2,3,6,8,6,3,9,6,6,1,1,2,2,4,1,4,3,8,5,9,3,5,5,6,2,0,4,2,1,2,9,1,20,13,18,10
MIMAT0004512,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
MIMAT0004513,1,2,34,16,7,7,8,9,5,1,8,4,6,13,12,14,6,33,9,2,22,3,14,0,4,18,6,4,8,24,6,17,9,2,1,19,15,7,7,11,10,6,11,1,28,7,4,10,2,4,13,1,8,27,13,28,4
MIMAT0004514,1,14,37,4,13,14,9,17,3,0,4,2,7,59,7,9,5,14,23,5,11,9,10,8,9,34,12,10,9,19,4,7,10,6,9,4,6,5,12,7,9,4,8,7,5,5,8,11,15,2,13,6,18,10,12,25,3
MIMAT0004515,1,75,99,147,72,158,61,132,12,13,66,79,204,230,63,49,52,199,52,71,68,35,44,106,44,284,136,90,114,103,207,83,31,60,49,158,45,54,80,85,46,57,43,52,29,95,77,29,146,32,85,127,58,70,562,187,72
MIMAT0004516,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
MIMAT0004517,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,5,0,0,0,1,0,0,0,1,0,0,6,1,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,2,1
MIMAT0004518,1,11,34,12,11,19,46,21,6,9,40,21,25,42,22,29,28,38,19,13,16,23,25,21,5,22,17,29,6,24,36,28,23,4,12,22,25,6,53,6,4,45,7,10,10,8,33,24,4,16,6,11,12,25,62,21,19
MIMAT0004543,0,1,3,0,2,2,4,3,3,3,8,2,4,8,8,0,2,5,4,4,4,7,5,8,0,3,0,3,6,3,8,6,5,3,2,1,3,6,1,2,2,11,1,3,8,3,1,1,4,5,2,2,6,9,7,8,0
MIMAT0004548,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2
MIMAT0004549,1,30,264,36,22,89,83,24,7,32,32,110,103,77,317,146,216,172,86,72,245,6,56,28,51,185,131,48,112,294,127,50,149,32,28,32,329,29,88,48,42,41,18,99,123,73,54,124,83,46,50,198,171,172,133,220,92
