accession_id,f3a7612e-35c3-43be-8f96-795874f8225c,3abbb570-87ad-44c5-b66d-141f63b0ca8b,dc300e50-f729-4d0e-8a33-606e95d91c95,a00a04b4-8de5-4f18-9dc2-531e21aa5167,0d003664-43ff-4eb5-b6c0-28ba7f26ee64,557f6cb1-95e3-4c8c-b253-538a415b0d07,ed76d786-d744-4067-b288-5fe2dc06a310,e4b1e8c9-5921-436d-8f6a-9af5b5baea8e,37fb952c-2a89-4903-98b9-6f6d36743218,a576843f-a9f7-47cf-a52f-7f01066fa160,0f40e7fd-789f-49f7-a797-76bbe3c84f47,ddde9a13-c70c-464c-8066-65a88ab92dc7,b70a538a-a0d7-4a0f-ab48-fd7b4457bfd3,aef6b437-1da5-4f69-970b-977cdc9cd5c5,8ecef704-ed0f-4700-a34e-46a174033332,f1d9de11-d45a-4443-ac6a-1f58888b6fcc,be8e6554-07ae-4ec2-8be0-8598556467c9,d7438c8a-6e39-4139-92e7-2aa05bae5d40,a4c3a7ab-2ddd-415d-a222-fd3dd1c01231,e83d4619-5e2b-4da7-8c05-93611ea76c85,8ec31b5f-bb8d-4c61-aac5-3204b66e81e2,f424bcaa-7212-4abc-8110-cff56b85c85a,e896f815-d8df-42cc-bdf6-04deb50f6c1a,85236a1e-2adb-459b-b868-b9486d9a285e,a4fc56a4-2493-451a-9b30-5aa38258bcce,6dc4e6bf-a8f6-4280-af19-5ed501969f01,7e975ee3-173d-4315-aacf-c201122d9868,52fed7ff-b663-4fc1-a294-57776659175a,d68e848a-5464-4471-88bd-3faf7e088d91,81ec1c9c-36c0-48e8-929a-8273d1d3febe,0f7a5400-3b1d-42d3-b47a-2979084bf616,8334ded1-3815-4766-8861-6fa8313fab6b,0895e2a3-5571-4ee2-b715-a424d0c9fec4,585f73db-7dc1-49d8-a601-f8d33b318a95,02fc7dd7-7e17-4930-8424-52173c33b29b,41cd380c-ab97-451e-80b7-3d9653a1e909,54fb48bb-ab47-4870-beb0-5713d15d8b58,415d3af2-fc41-43d5-b185-6a09946b9e84,265fa10b-9393-4c95-99a0-df47069deaac,ba7c9ae6-bb71-4bb4-8f3d-f2041f62896f,8f6d8863-21b1-4469-b233-21bb7c9b954c,7f06d0ce-d5ac-4a70-97ea-0ebb8e8b0f67,86e3408b-76a3-4834-b85e-4d2a07677304,f4987886-cc3e-4423-84ae-84911abcd473,86b5eaae-717c-4806-be60-7ffcab935908,e351b00e-5462-4be5-a57c-162a9b7b996e,3be37b85-90eb-4f47-909a-8be730172d92,3d4b6861-2763-451d-ae0a-6a5adfc591ec,475e779f-c6b7-4f7c-9616-f2c47b9b97a5,eaf6af76-2b28-4128-9371-a3d928d72370,d0982681-8799-412d-a868-81078e4a6560,a44df6fa-36a7-4500-90fd-d62baf48ef52,646eb67c-2e86-4f89-867f-78c31eff5fe0,91b36078-362b-4909-ac90-1b2d1ea4a545,aafbf8fb-290d-408e-b104-241b7d492895,ff79f645-81f1-4a3b-ae72-adc169f30143
MIMAT0002870,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,3,0,0,1,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,1,0,1,0,0
MIMAT0002871,96,249,342,258,200,474,873,668,230,1232,556,395,292,204,587,448,366,132,1254,375,1114,238,854,577,457,308,530,589,390,476,309,262,565,1039,578,298,375,576,789,406,774,343,820,206,620,711,377,496,285,181,701,162,537,390,314,622
MIMAT0002872,0,2,2,3,1,2,4,1,2,7,1,6,1,2,2,2,3,4,5,7,14,6,4,13,6,4,2,7,2,2,7,0,2,4,4,0,13,3,5,2,6,3,21,4,3,4,5,6,1,1,9,3,3,11,4,8
MIMAT0002873,0,1,1,0,0,1,0,1,0,1,0,1,2,1,0,0,3,0,3,0,2,1,1,6,5,1,2,4,0,0,0,0,0,2,0,1,0,1,0,1,4,1,2,2,1,0,1,3,0,0,2,2,0,0,0,3
MIMAT0002874,1,72,22,53,2,59,15,32,6,40,38,141,18,25,10,24,43,11,77,197,90,52,35,41,50,69,26,25,19,104,81,22,15,74,7,37,65,31,71,23,42,14,176,33,46,61,105,15,19,7,29,44,24,80,4,97
MIMAT0002875,2,3,2,2,3,8,12,4,6,5,6,1,0,16,5,5,1,3,3,4,11,0,5,15,5,0,5,12,4,0,12,0,2,4,1,0,6,24,6,35,1,1,3,0,2,15,8,8,5,0,2,11,1,11,2,2
MIMAT0002876,12,47,38,58,7,52,79,92,44,91,264,72,29,91,49,115,144,21,133,46,369,101,112,175,21,30,39,218,29,47,47,44,91,81,14,22,141,21,109,55,79,172,102,20,107,215,193,306,28,33,156,54,75,131,63,32
MIMAT0002877,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
MIMAT0002878,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0
MIMAT0002879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0002880,1,1,4,22,2,11,1,1,10,31,14,3,113,28,2,25,5,1,10,24,3,7,8,6,32,0,7,4,19,4,7,2,86,41,5,0,49,6,5,3,8,15,30,6,11,5,5,4,7,2,1,0,0,12,5,0
MIMAT0002881,0,4,4,24,1,9,3,13,8,7,4,9,16,12,7,10,6,2,17,8,11,4,18,0,15,2,4,12,15,8,11,2,54,23,12,5,28,3,4,12,11,6,19,7,18,15,12,9,9,8,18,6,4,3,11,2
MIMAT0002883,1,1,0,18,0,8,3,2,3,3,1,3,47,22,3,16,4,1,1,11,2,2,5,1,19,0,4,4,7,2,5,3,32,26,0,0,13,0,2,0,1,6,11,2,6,1,3,2,5,2,0,0,0,3,1,1
MIMAT0002888,146,581,983,675,442,1252,1402,1895,557,4138,1068,981,828,657,1071,1337,973,411,2970,1038,2714,770,2432,1483,1166,567,1113,1787,1177,875,1124,438,1441,2445,908,567,1709,966,1786,1375,2198,788,2732,837,1673,1453,1242,2452,941,963,2826,744,1189,866,1252,1371
MIMAT0002890,0,5,4,1,3,6,11,6,3,7,10,3,1,5,7,2,9,8,7,8,1,5,8,5,3,0,2,10,4,6,5,2,7,2,4,2,34,2,9,5,2,6,4,1,3,7,11,9,3,5,16,6,4,1,7,5
MIMAT0002891,1,6,3,0,1,1,7,1,1,7,2,0,3,0,0,12,6,0,1,2,10,5,0,4,5,2,1,5,4,1,6,0,5,0,1,1,5,2,0,1,3,8,5,1,4,2,6,16,0,3,3,1,1,8,3,7
MIMAT0003150,2,10,40,1,3,48,7,45,10,92,53,17,16,16,6,13,22,19,38,33,24,17,28,9,21,10,20,29,48,29,21,9,42,31,11,8,81,12,18,24,72,49,40,24,65,31,48,20,9,15,50,13,4,22,22,65
MIMAT0003161,0,4,11,2,5,8,30,11,7,49,5,6,1,19,2,5,10,4,13,8,9,11,9,1,12,0,2,4,7,9,13,4,14,5,6,0,55,2,9,11,8,2,13,5,13,14,11,2,1,3,576,8,3,5,6,7
MIMAT0003163,16,34,32,13,27,17,37,27,69,170,22,41,21,101,30,7,18,25,31,16,30,23,45,6,26,17,11,31,30,17,25,16,34,29,30,20,102,6,13,16,27,4,39,69,23,53,17,15,24,15,416,21,31,9,25,15
MIMAT0003164,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
MIMAT0003165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003180,1,5,19,2,5,9,21,11,7,45,8,7,3,10,8,5,13,14,6,2,11,20,7,0,4,2,3,18,3,9,2,2,11,4,5,1,45,1,6,16,7,5,6,12,4,11,14,3,3,5,153,13,7,7,4,5
MIMAT0003214,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,2,1,1,0,0,6,2,0,0,1,0,0,0,1,0,3,1,0,0,0,0,1,0,4,0,0,0,1,1,2,2,3,2,1,0,1,1,0,0,0,0
MIMAT0003215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0,0,0,0,16,0,0,0,0,0,0,1,0,63,0,0,0,0,0
MIMAT0003218,22,104,186,91,40,143,378,215,181,1061,31,137,166,49,132,398,122,922,307,240,240,1342,336,184,210,61,417,201,328,129,629,11,262,35,58,59,1652,69,133,4512,282,165,237,283,1049,190,111,371,28,423,473,131,113,4,124,78
MIMAT0003220,0,3,0,0,0,1,2,2,0,2,0,1,0,1,1,1,0,0,0,2,0,2,1,1,1,0,1,0,0,1,2,0,2,0,0,0,0,1,0,0,0,0,2,0,0,1,5,2,0,0,0,0,1,0,1,0
MIMAT0003223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0003228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003233,1,5,2,2,2,2,1,4,2,14,3,0,1,7,0,0,2,1,5,4,6,1,5,0,5,1,0,27,2,2,3,3,6,2,0,1,2,2,7,2,2,0,10,6,8,8,8,1,2,2,3,2,1,0,5,1
MIMAT0003235,0,0,2,2,1,2,0,0,1,0,3,2,1,1,0,6,4,0,3,3,5,4,0,5,1,0,1,1,0,1,0,2,0,0,1,1,6,0,3,1,1,3,0,0,0,3,8,0,2,1,0,0,0,1,0,1
MIMAT0003237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003238,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,2,0,1,0,0,0,0,0
MIMAT0003239,73,134,145,56,48,204,49,247,71,491,180,89,74,101,145,143,102,196,202,203,181,799,302,292,145,92,97,701,151,86,135,75,306,185,114,56,348,135,172,170,209,207,120,132,387,229,529,198,69,178,306,186,33,218,217,105
MIMAT0003241,27,11,15,11,7,72,16,31,5,46,36,51,34,20,19,31,49,5,42,22,92,21,28,34,21,31,31,43,49,19,33,17,30,24,9,9,42,26,54,24,39,36,53,22,80,152,40,15,32,31,25,5,128,33,24,23
MIMAT0003242,3,1,14,2,2,1,3,2,1,4,4,5,9,0,6,6,6,1,3,0,91,0,7,4,3,4,1,5,6,1,4,1,2,1,1,0,1,0,4,3,2,2,14,6,102,7,12,33,17,0,0,3,9,1,5,7
MIMAT0003243,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
MIMAT0003244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,2,0,0
MIMAT0003245,0,0,1,1,0,0,0,2,0,7,0,0,2,1,0,0,0,0,1,0,3,0,3,0,0,0,2,0,1,0,2,1,0,2,1,0,1,0,2,1,2,0,0,0,0,4,3,0,0,1,1,0,3,1,1,1
MIMAT0003246,0,0,0,1,1,1,1,1,0,16,1,1,0,5,0,0,0,0,0,5,4,2,7,0,0,2,2,4,1,0,2,1,1,1,1,1,2,0,5,2,1,0,1,3,0,6,8,0,0,0,2,1,0,1,3,2
MIMAT0003247,7,5,7,1,0,91,4,4,10,66,41,0,9,6,6,15,22,6,7,5,32,47,21,22,4,9,5,19,26,12,21,1,9,11,8,6,51,9,64,18,6,1,30,5,8,95,49,7,0,8,15,6,11,73,5,13
MIMAT0003249,15,25,108,81,86,40,32,54,41,655,29,57,36,19,62,50,26,39,133,28,54,13,322,13,39,16,64,116,27,120,48,44,148,133,162,33,62,23,64,167,25,14,112,26,63,240,41,511,19,25,292,43,58,26,91,40
MIMAT0003250,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,1,3,0,2,0,0,2,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2
MIMAT0003254,0,0,1,1,1,0,5,1,3,4,7,1,2,0,0,1,7,0,1,0,9,1,6,3,2,0,4,1,2,1,0,1,2,2,0,0,1,1,2,0,1,2,0,1,4,1,6,1,0,0,3,0,0,3,0,0
MIMAT0003255,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003256,1,4,2,3,1,7,4,7,4,24,5,2,6,2,7,4,5,5,23,9,37,8,7,11,2,7,13,20,7,5,7,7,9,9,18,2,4,7,26,9,9,7,6,6,7,21,20,7,11,13,3,0,8,3,10,29
MIMAT0003257,1,11,10,1,1,4,6,4,4,4,4,5,2,6,5,7,27,9,1,1,11,3,5,6,4,2,6,6,0,2,0,6,2,9,4,2,8,7,2,7,3,1,4,1,6,4,11,4,2,3,6,0,1,0,4,3
MIMAT0003258,12,26,46,29,8,42,35,29,8,90,51,31,5,25,3,109,72,13,75,12,163,26,64,48,18,20,24,40,25,23,31,31,43,57,23,19,53,27,35,48,26,32,49,17,40,87,81,34,40,22,21,25,43,57,93,34
MIMAT0003260,2,10,12,11,4,20,6,10,4,8,10,9,0,11,4,8,16,7,1,2,4,8,9,28,9,14,3,10,1,12,2,4,5,21,3,2,34,1,5,9,10,23,5,1,31,11,1,7,1,2,25,10,5,8,7,1
MIMAT0003265,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
MIMAT0003266,3,37,31,2,1,45,11,23,4,195,60,3,10,6,3,7,12,3,28,6,37,26,21,15,6,25,13,24,9,17,9,12,289,24,6,6,60,10,24,17,26,15,32,11,16,18,22,157,32,11,50,9,3,29,50,5
MIMAT0003268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003270,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
MIMAT0003271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003273,0,4,0,0,1,2,3,0,1,3,0,1,3,3,2,3,0,0,0,2,2,3,4,0,0,0,2,1,0,1,0,0,2,0,0,1,0,0,1,0,2,2,0,0,0,4,8,2,0,0,0,1,1,0,0,0
MIMAT0003275,0,0,0,0,1,1,0,1,1,14,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,1,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0
MIMAT0003277,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003278,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003282,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
MIMAT0003283,19,14,11,29,1,33,13,81,5,17,31,183,12,14,3,58,50,40,34,137,45,35,8,17,16,4,21,66,49,17,77,8,16,13,14,11,198,24,31,88,26,144,17,25,49,52,35,18,7,27,65,89,25,47,26,52
MIMAT0003284,4,6,4,11,6,8,1,6,4,27,10,17,9,7,6,6,15,3,18,6,18,2,18,3,6,4,7,3,13,0,9,8,12,4,5,0,11,3,25,4,8,5,8,6,11,33,5,5,15,8,6,9,16,3,5,6
MIMAT0003287,0,1,0,0,2,1,0,2,1,0,0,0,6,7,9,1,6,1,0,1,3,0,1,1,1,12,0,0,0,0,0,0,4,3,1,0,0,5,0,2,0,0,2,4,0,1,1,0,0,0,2,0,0,1,0,0
MIMAT0003291,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003293,0,2,2,2,0,3,1,1,0,6,0,0,1,4,0,3,4,2,6,2,3,4,2,0,1,0,0,0,3,1,5,0,1,0,0,0,4,2,4,1,0,0,0,0,4,5,11,0,1,2,3,2,1,1,0,4
MIMAT0003294,5,45,23,22,2,19,16,12,7,14,8,9,3,10,30,9,15,7,14,6,21,7,18,6,34,0,13,5,8,12,9,9,17,4,2,8,10,10,16,12,1,2,15,2,7,22,20,1,3,3,15,20,4,10,3,9
MIMAT0003296,3,5,8,5,0,2,0,1,2,8,0,12,2,3,2,1,10,5,1,3,3,1,2,3,1,2,3,6,2,3,4,1,2,5,0,3,3,1,8,0,2,3,0,1,1,1,2,0,1,0,0,1,7,3,0,5
MIMAT0003297,0,4,0,0,0,0,0,0,1,8,0,1,0,1,2,2,6,0,9,5,0,0,0,0,0,2,1,0,2,2,9,0,0,3,1,1,2,2,5,1,0,0,1,0,0,0,1,0,0,0,1,5,1,0,1,2
MIMAT0003298,2,23,11,25,11,6,15,7,17,125,9,9,16,6,69,17,19,8,60,16,47,14,50,6,31,13,14,24,18,17,32,30,32,15,4,18,35,16,23,15,13,14,51,17,25,23,39,22,14,8,27,15,24,7,16,16
MIMAT0003301,8,87,12,10,0,6,83,25,49,11,9,30,3,18,6,20,118,8,13,26,103,11,57,3,10,0,22,16,13,19,75,7,59,6,3,12,68,2,115,31,7,6,11,7,37,265,62,43,4,8,35,119,11,3,16,9
MIMAT0003302,0,0,0,1,0,0,0,1,1,9,0,3,1,0,0,0,0,0,0,0,1,1,2,0,1,0,0,0,2,1,2,0,1,1,0,1,0,0,2,1,1,0,0,0,1,1,2,0,1,0,0,7,2,0,0,3
MIMAT0003306,0,1,0,0,0,0,2,2,1,6,0,0,1,1,0,1,1,0,0,0,3,0,0,0,1,0,2,0,0,0,1,0,1,0,0,0,3,0,0,2,0,2,0,0,0,2,1,7,0,0,2,1,0,1,0,1
MIMAT0003309,1,1,0,3,0,2,3,2,1,3,0,2,1,0,0,0,1,0,3,0,1,1,3,0,0,0,0,2,0,1,1,2,2,1,0,0,1,2,2,1,1,0,5,0,1,0,1,2,0,0,2,0,0,1,0,2
MIMAT0003311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
MIMAT0003312,5,8,7,19,7,16,1,1,1,122,3,4,7,18,7,6,5,4,27,10,15,8,9,2,1,12,6,38,27,3,14,4,6,14,0,8,10,1,9,28,4,17,17,12,35,9,36,14,14,11,7,22,9,0,11,7
MIMAT0003313,0,0,1,0,0,1,0,2,1,5,4,1,0,0,0,0,0,0,2,1,7,0,1,0,1,0,1,2,2,0,0,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,2,1,0,2
MIMAT0003317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003321,0,10,6,9,0,9,1,13,2,40,7,3,7,6,0,13,10,1,3,7,17,3,4,1,2,1,4,2,6,2,15,2,9,20,2,1,6,8,41,3,5,0,18,6,7,11,7,5,3,7,4,1,6,17,4,5
MIMAT0003322,9,52,34,89,13,96,61,260,26,211,53,58,24,15,40,85,89,29,52,42,211,144,28,42,31,14,92,91,21,35,131,8,167,45,114,10,530,10,59,78,28,39,146,31,53,191,80,44,24,19,101,54,48,42,39,53
MIMAT0003323,1,1,1,1,0,0,1,1,0,2,0,2,0,0,0,0,2,1,3,2,0,1,0,0,1,0,2,0,0,0,3,1,2,0,0,0,1,0,4,2,0,0,0,0,1,2,1,0,0,0,0,0,2,1,0,0
MIMAT0003325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003327,0,0,0,6,0,0,0,0,0,0,0,1,0,0,4,0,0,38,0,7,12,3,0,1,2,0,0,18,1,0,17,1,0,0,0,0,32,4,0,56,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0
MIMAT0003328,13,34,15,88,14,44,17,14,88,54,40,102,15,21,5,14,9,2,49,14,154,127,67,8,24,5,5,40,11,25,21,54,21,27,4,19,9,3,44,44,29,152,24,30,15,95,14,15,28,3,40,50,13,5,19,14
MIMAT0003329,4,10,14,5,1,18,5,13,7,50,5,4,3,8,1,2,14,6,7,8,10,5,16,0,1,0,5,13,6,5,8,3,15,5,1,3,63,2,19,19,6,2,13,7,17,18,9,9,3,10,75,5,5,1,4,4
MIMAT0003330,0,1,3,0,2,7,8,5,1,10,1,0,1,2,2,1,1,5,2,1,1,2,13,1,6,1,0,4,2,6,2,1,4,1,5,0,7,2,3,0,6,0,1,1,4,3,1,1,1,5,42,3,2,0,1,2
MIMAT0003331,0,2,6,1,5,6,10,5,2,6,8,4,4,7,2,2,7,5,2,2,5,7,2,0,1,2,2,7,2,7,5,1,7,6,3,1,10,2,8,3,3,4,3,5,4,5,2,0,2,4,39,1,0,6,1,1
MIMAT0003332,0,1,3,0,0,5,1,3,1,5,2,0,0,2,0,1,0,4,2,2,2,4,0,0,0,1,0,1,0,0,1,1,1,0,1,0,1,1,2,2,3,1,1,1,0,2,3,1,0,0,4,2,1,2,0,0
MIMAT0003333,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIMAT0003336,1,1,0,1,0,0,0,1,0,4,0,1,1,0,0,0,1,0,3,1,0,1,2,0,1,0,3,0,2,0,3,0,0,1,1,1,0,1,0,0,1,0,3,0,2,2,2,3,0,0,1,1,0,0,0,2
MIMAT0003337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
MIMAT0003338,7,20,39,42,9,60,49,71,18,250,63,22,43,35,9,42,53,7,82,29,184,31,81,67,57,41,45,88,41,42,37,24,37,64,35,36,40,45,56,56,98,33,131,55,93,57,46,68,29,17,83,19,36,54,37,51
MIMAT0003339,3,4,4,6,1,15,6,9,9,11,1,4,2,2,2,7,5,1,12,7,19,4,3,4,4,2,7,6,3,5,13,4,5,17,2,0,10,10,7,4,6,7,10,3,7,9,2,6,0,0,3,6,4,25,2,10
MIMAT0003340,0,9,11,1,1,16,6,2,1,14,1,3,3,2,2,2,4,4,5,5,12,13,2,10,2,3,5,13,1,9,7,0,2,3,1,2,15,1,5,10,13,0,9,4,11,4,9,3,2,1,5,3,4,9,4,3
MIMAT0003385,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,0,0,0,1,0,2,0,0,0,1,1,0,0,0,1
MIMAT0003386,2,2,7,3,0,7,2,8,0,5,3,2,5,3,3,2,3,1,2,2,7,6,7,0,0,1,2,4,1,1,1,0,3,0,0,1,4,0,3,8,1,3,0,6,2,5,1,1,1,0,28,3,0,3,0,2
MIMAT0003389,36,286,1242,81,166,1662,1091,768,215,2440,228,488,325,169,141,151,317,181,952,760,1065,531,530,610,161,384,505,1767,483,779,620,121,431,236,186,189,1389,64,312,583,869,81,1056,765,633,1285,632,247,153,270,399,387,159,764,399,607
MIMAT0003393,739,734,1087,807,124,1413,6541,1470,241,1110,1060,1385,751,1245,1287,1210,2024,1817,790,2168,2670,2609,426,1718,934,622,1446,1918,213,1332,1000,343,514,779,149,456,2542,2630,2143,3187,501,1338,898,266,10769,1698,1359,908,331,789,962,2238,968,2434,712,1119
MIMAT0003879,3,5,28,3,13,55,23,25,8,131,11,8,16,15,14,4,11,13,16,14,35,17,45,3,6,2,6,34,23,14,0,4,27,8,17,3,78,7,15,28,26,6,31,30,22,34,13,7,10,21,294,7,4,4,14,10
MIMAT0003880,2,7,4,13,0,19,4,18,4,60,11,12,4,7,2,12,12,6,19,14,20,16,17,14,4,13,3,4,7,15,19,5,13,20,7,7,28,10,15,11,4,8,21,4,10,5,7,12,9,4,24,5,3,9,10,8
MIMAT0003881,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0
MIMAT0003882,3,0,0,0,0,1,0,25,2,29,15,0,0,139,0,1,1,3,0,19,190,0,10,0,4,0,201,257,4,0,45,15,0,3,0,0,6,1,0,1,10,18,356,3,1,0,0,0,9,0,0,2,27,0,3,5
MIMAT0003883,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,3,0,1,9,0,0,0,0,0,13,12,1,0,2,0,0,0,0,0,0,0,0,0,0,2,14,1,1,0,0,0,0,0,0,1,0,0,0,0
MIMAT0003884,0,1,1,0,0,1,2,5,0,1,5,6,15,0,2,9,1,0,2,2,10,3,1,1,1,1,3,2,0,2,1,0,1,0,0,0,0,1,0,0,4,1,1,3,4,4,4,4,1,1,1,1,0,3,0,0
